tf,substrate,source,yeastract_sign,in_teufel
RAP1,SED1,teufel,NA,1
CIN5,SED1,teufel,+,1
RLM1,SED1,teufel,+,1
RDS2,SED1,teufel,NA,1
GCN4,TVP23,teufel,-,1
ARG81,TVP23,teufel,+,1
STE12,AFR1,teufel,NA,1
RLM1,AFR1,teufel,+,1
IXR1,SSS1,teufel,-,1
STE12,SLU7,teufel,NA,1
YAP1,YDR089W,teufel,NA,1
MSN2,YDR089W,teufel,NA,1
GLN3,YDR090C,teufel,NA,1
RAP1,YDR094W,teufel,+,1
YRM1,YDR094W,teufel,NA,1
MSN2,GIS1,teufel,+,1
RDS2,GIS1,teufel,NA,1
SOK2,GRX3,teufel,NA,1
RAP1,BMH2,teufel,NA,1
REB1,TVP15,teufel,+,1
STP2,STE5,teufel,NA,1
MSN2,STE5,teufel,NA,1
SWI5,FOB1,teufel,NA,1
ADR1,ALT2,teufel,NA,1
MSN2,ALT2,teufel,NA,1
CBF1,YDR115W,teufel,NA,1
SPT23,KIN1,teufel,NA,1
SOK2,KIN1,teufel,NA,1
STE12,YDR124W,teufel,NA,1
RPN4,ARO1,teufel,-,1
GCN4,ARO1,teufel,+,1
HSF1,ARO1,teufel,+,1
MSN2,ARO1,teufel,-,1
ABF1,FIN1,teufel,+,1
TEC1,YDR132C,teufel,NA,1
STE12,YDR132C,teufel,NA,1
YAP1,YDR132C,teufel,NA,1
MSN2,YDR132C,teufel,NA,1
RIM101,YDR133C,teufel,+,1
RAP1,YDR133C,teufel,NA,1
TUP1,YDR134C,teufel,NA,1
SWI4,YDR134C,teufel,NA,1
PDR1,YDR134C,teufel,NA,1
SOK2,YDR134C,teufel,NA,1
YAP1,YCF1,teufel,both,1
RAP1,YCF1,teufel,+,1
SWI6,MKC7,teufel,NA,1
PHO2,TAF12,teufel,+,1
STE12,TAF12,teufel,NA,1
STE12,SWI5,teufel,NA,1
FKH1,SWI5,teufel,both,1
SFP1,SWI5,teufel,NA,1
MCM1,SWI5,teufel,both,1
FKH2,SWI5,teufel,+,1
RAP1,SWI5,teufel,NA,1
INO4,EKI1,teufel,+,1
SFP1,CTH1,teufel,NA,1
SFP1,GIR2,teufel,NA,1
RPH1,YDR154C,teufel,-,1
HSF1,YDR154C,teufel,+,1
HSF1,CPR1,teufel,+,1
SKN7,CPR1,teufel,both,1
ABF1,CPR1,teufel,NA,1
MSN2,CPR1,teufel,-,1
RAP1,CPR1,teufel,+,1
ROX1,CPR1,teufel,NA,1
ABF1,RPA14,teufel,+,1
ACE2,RPA14,teufel,NA,1
MSN2,RPA14,teufel,NA,1
ABF1,YDR157W,teufel,+,1
REB1,HOM2,teufel,+,1
HSF1,HOM2,teufel,+,1
STB5,HOM2,teufel,+,1
ACE2,HOM2,teufel,NA,1
TYE7,SSY1,teufel,+,1
TEC1,STB3,teufel,+,1
RTG3,HSP42,teufel,+,1
TEC1,HSP42,teufel,+,1
HSF1,HSP42,teufel,both,1
MSN2,HSP42,teufel,+,1
ABF1,SUP35,teufel,+,1
ABF1,HMO1,teufel,+,1
STE12,CSN9,teufel,+,1
SFP1,CSN9,teufel,NA,1
YAP1,CSN9,teufel,both,1
GCR2,CSN9,teufel,NA,1
TEC1,SCC2,teufel,NA,1
YAP1,SAS4,teufel,both,1
GLN3,ATC1,teufel,-,1
TEC1,YDR186C,teufel,NA,1
RFX1,YDR186C,teufel,NA,1
RAP1,YDR186C,teufel,NA,1
MCM1,RVB1,teufel,-,1
ABF1,MSS116,teufel,-,1
RAP1,MSS116,teufel,-,1
OAF1,UME6,teufel,+,1
LEU3,UME6,teufel,+,1
MSN2,UME6,teufel,+,1
TEC1,YDR210W,teufel,+,1
HAP2,YDR210W,teufel,-,1
MSN2,YDR210W,teufel,NA,1
TEC1,GCD6,teufel,+,1
STE12,GCD6,teufel,NA,1
ABF1,TCP1,teufel,+,1
GCN4,AHA1,teufel,both,1
HSF1,AHA1,teufel,both,1
STE12,AHA1,teufel,NA,1
SPT23,AHA1,teufel,NA,1
STE12,ADR1,teufel,NA,1
MSN2,ADR1,teufel,+,1
FHL1,ADR1,teufel,NA,1
STB5,MFB1,teufel,-,1
SWI4,YDR222W,teufel,+,1
SWI4,HTB1,teufel,+,1
HIR2,HTB1,teufel,NA,1
HIR1,HTA1,teufel,NA,1
SWI4,HTA1,teufel,+,1
SWI6,HTA1,teufel,NA,1
MSN2,COX20,teufel,NA,1
FHL1,COX20,teufel,NA,1
HAP3,HEM1,teufel,+,1
HAP2,HEM1,teufel,+,1
STB5,HEM1,teufel,+,1
MSN2,HEM1,teufel,NA,1
ABF1,RTN1,teufel,+,1
RAP1,RTN1,teufel,+,1
STE12,SNU56,teufel,+,1
STE12,BUD26,teufel,NA,1
OAF1,PEX5,teufel,NA,1
GCN4,PEX5,teufel,+,1
ARG81,PEX5,teufel,+,1
ABF1,MNN10,teufel,NA,1
TEC1,YDR249C,teufel,NA,1
STE12,YDR249C,teufel,NA,1
MSN2,YDR249C,teufel,NA,1
TEC1,PAM1,teufel,NA,1
MSN2,PAM1,teufel,NA,1
CBF1,MET32,teufel,+,1
MCM1,MET32,teufel,-,1
MET4,MET32,teufel,NA,1
TUP1,HSP78,teufel,NA,1
GCN4,HSP78,teufel,both,1
PDR1,HSP78,teufel,both,1
HSF1,HSP78,teufel,both,1
YAP1,HSP78,teufel,both,1
SOK2,HSP78,teufel,NA,1
MSN2,HSP78,teufel,+,1
TUP1,YAP6,teufel,NA,1
PDR1,YAP6,teufel,both,1
CBF1,YAP6,teufel,+,1
MSN2,YAP6,teufel,+,1
CIN5,YAP6,teufel,+,1
RAP1,SWM1,teufel,NA,1
TEC1,EXG2,teufel,NA,1
YAP6,YDR262W,teufel,NA,1
MBP1,DIN7,teufel,-,1
SWI6,DIN7,teufel,NA,1
AFT1,AKR1,teufel,NA,1
ABF1,PEX10,teufel,+,1
RPN4,CCC2,teufel,-,1
AFT1,CCC2,teufel,+,1
AFT2,CCC2,teufel,NA,1
HSF1,BSC2,teufel,+,1
RAP1,BSC2,teufel,NA,1
MSN2,PMP3,teufel,+,1
RAP1,PMP3,teufel,+,1
RTG3,RNH202,teufel,+,1
RIM101,RNH202,teufel,+,1
STE12,RNH202,teufel,NA,1
ABF1,RNH202,teufel,NA,1
STE12,YDR282C,teufel,NA,1
SFP1,YDR282C,teufel,NA,1
ABF1,GCN2,teufel,+,1
